,3-level,4-level,4-level+Dropout,5-level,5-level+Dropout
mse,0.005041186488967301,0.004967280288138274,0.005786564097074835,0.004801051740584638,0.006465496789921473
val_mse,0.006038247256604801,0.006229727835722383,0.006387022479693439,0.00598709723671666,0.00665432570239283
loss,0.009333980267525806,0.02322402814697068,0.02425285557681523,0.037254373297867495,0.03777316568481742
val_loss,0.010682947030273749,0.024542136263515625,0.02475807022532318,0.03851861853070247,0.03782053585055728
