,3-level,4-level,4-level+Dropout,5-level,5-level+Dropout
mse,0.0044325694454855555,0.003823181057803311,0.005051043194517283,0.0038880128633902657,0.005885016647641774
val_mse,0.005730731199576832,0.006176735415690895,0.0057988775080426705,0.006172583120417057,0.006282729803765153
loss,0.0044325694454855555,0.003823181057803311,0.005051043194517283,0.0038880128633902657,0.005885016647641774
val_loss,0.005730731199576832,0.006176735415690895,0.0057988775080426705,0.006172583120417057,0.006282729803765153
